what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308736479303
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308736489436
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1308736496371
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308736501751
activated,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1308736507793
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308736507808
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1308736514708
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308736518201
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308736520196
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1308736535314
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308736538861
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308736539919
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308736548641
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308736574767
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308736579845
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1308736582991
activated,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1308736608529
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308736642747
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308736643143
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308736651206
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1308736652712
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1308736657498
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1308736659025
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1308736659026
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1308736660372
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1308736662027
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1308736662027
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1308736667003
started,bundle,org.eclipse.mylyn.resources.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.resources.ui",1308736667012
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1308736673067
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308736678433
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308736687357
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1308736689363
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1308736689449
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1308736694050
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1308736694050
opened,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1308736695489
activated,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1308736695566
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1308736696529
closed,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1308736696529
opened,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1308736697886
activated,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1308736697952
activated,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1308736700376
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1308736787565
activated,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1308736828512
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1308736830681
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1308736843637
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308736928940
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308736929924
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308736930536
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308736931105
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308736935996
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308736989704
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308736991923
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308736993383
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308736993783
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308736996256
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308737020450
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308737020829
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308737023020
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308737026570
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308737027470
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308737032878
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308737034460
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308737035115
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308737038390
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308737041279
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308737044529
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1308737051999
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1308737052822
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1308737053896
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308737306936
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308737307511
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308737310195
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1308737359355
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308737362904
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1308737383779
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308737412229
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1308737467586
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308737491448
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308737495793
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308737497887
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308737499355
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308737505237
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308737521747
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308737522060
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308737533976
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308737541157
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308737542223
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308737545571
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308737553398
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308737557023
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1308737563424
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1308737582609
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308737614461
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308737804883
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1308737848510
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1308737849326
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1308737851890
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308737853758
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308737895444
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308737897005
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308737930156
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308737937593
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308737969532
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308738020631
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308738031399
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308738033576
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308738037517
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308738042978
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308738048237
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308738050873
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308738056790
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308738060979
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308738068054
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308738071981
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1308738092396
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1308738097390
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1308738097470
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1308738097487
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1308738098633
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1308738102814
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1308738106126
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1308738107721
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308738111034
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308738114615
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308738127782
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308738129461
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308738146410
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308738147874
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308738155106
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308738156148
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308738160171
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1308738164187
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308738183738
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308738186368
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1308738233629
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1308738234305
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1308738235211
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308738236661
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308738245495
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308738246736
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308738247529
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308738253534
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308738260194
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308738262680
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1308738269218
activated,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1308738272415
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1308738273874
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1308738276923
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308738278484
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308738280060
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308738286385
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308738290401
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308738290890
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308738293193
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308738313444
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308738512254
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308738521387
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308738525059
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1308738529599
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1308738530304
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1308738531543
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1308738532645
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308738561541
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1308738569093
started,bundle,org.eclipse.pde.core,3.6.2.v20110210_r362,"org.eclipse.pde.core",1308738577141
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308738582002
opened,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1308738593491
activated,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1308738593552
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308738593730
activated,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1308738596343
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1308738597800
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1308738598538
activated,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1308738599996
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1308738600958
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1308738614152
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1308738616850
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308738618610
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308738618861
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308738660608
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308738661791
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308738721985
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308738723893
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308738774951
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308738812576
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308738817309
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308738821097
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308738822117
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308738826395
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308738845720
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308738856111
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308738989942
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308738992836
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308738993497
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1308739027003
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1308739028381
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1308739028714
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1308739028864
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1308739029081
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1308739029728
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308739032768
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308739039856
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308739041023
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308739043725
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308739044960
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308739046099
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1308739050063
